Classifier,BestMCC_T,BestMCC,BestMCC_Rec,BestMCC_F1,BestRec@MCC≥0_T,BestRec@MCC≥0,MCC@BestRec
Random Forest 300,0.43,0.4195,0.7805,0.6728,0.05,1.0,0.2107
Random Forest 100,0.46,0.4142,0.7561,0.6742,0.05,1.0,0.1883
Extra Trees 200,0.49,0.3827,0.6585,0.671,0.05,0.9756,0.1829
AdaBoost 100,0.46,0.381,0.8537,0.6239,0.05,1.0,0.0
GradBoost  lr=0.05,0.23,0.3738,0.7561,0.6444,0.05,0.8293,0.3056
LR  L1  C=0.1,0.7,0.3737,0.8293,0.6251,0.05,1.0,0.2023
GradBoost  lr=0.1,0.1,0.3674,0.7317,0.6454,0.05,0.7317,0.3255
Bagging DT,0.39,0.3387,0.6585,0.6404,0.05,0.9024,0.2683
LR  ElasticNet,0.61,0.3302,0.7561,0.6105,0.05,0.9268,0.2064
LR  L2  C=1,0.33,0.3272,0.7805,0.6011,0.05,0.8537,0.2619
SGD  Log-Loss,0.62,0.3195,0.7561,0.6019,0.05,0.9024,0.263
LR  L2  C=0.01,0.61,0.3123,0.878,0.5547,0.05,1.0,0.1925
Bernoulli NB,0.07,0.3012,0.8293,0.5628,0.05,0.8293,0.2905
SVM  Linear,0.22,0.2956,0.7805,0.5744,0.05,0.8537,0.2507
SVM  RBF  C=10,0.4,0.2713,0.7561,0.5613,0.05,0.9024,0.2144
SVM  RBF  C=1,0.6,0.226,0.7317,0.5296,0.05,0.9268,0.18
