Classifier,Accuracy,Precision,Recall,F1 Macro,ROC-AUC
Random Forest 300,0.819,0.3398,0.6056,0.6599,0.8335
Random Forest 100,0.8216,0.3651,0.7056,0.6835,0.8276
AdaBoost 100,0.7771,0.281,0.5833,0.6186,0.8139
Bagging DT,0.8085,0.3184,0.5556,0.6407,0.8115
Extra Trees 200,0.8243,0.3612,0.6556,0.6777,0.8039
LR  L1  C=0.1,0.5968,0.196,0.875,0.5162,0.8029
LR  ElasticNet,0.691,0.2322,0.8028,0.5766,0.7974
SVM  Linear,0.7615,0.2514,0.5361,0.5939,0.7957
GradBoost  lr=0.1,0.8243,0.3486,0.5806,0.6632,0.7947
LR  L2  C=1,0.7405,0.2526,0.6583,0.5981,0.7931
SGD  Log-Loss,0.704,0.2371,0.7806,0.5837,0.7886
GradBoost  lr=0.05,0.8033,0.3198,0.6056,0.6474,0.7818
Bernoulli NB,0.7275,0.2359,0.6778,0.5881,0.7797
LR  L2  C=0.01,0.5261,0.1706,0.875,0.4643,0.7723
SVM  RBF  C=10,0.5132,0.1659,0.875,0.4542,0.7628
SVM  RBF  C=1,0.3638,0.1446,1.0,0.3493,0.7304
